00:00.098  translation      | WARNING 'locale' data path for translations not found
00:00.602  blend            | Read blend: "/home/ricardo/cvg-his-v4/docs/frontend/assets/source/cvg-pulse-orbit.blend"
00:00.619  render           | Rendering animation (frames 1..72)
00:00.619  render           | Rendering frame 1
00:00.619  render           | Start rendering: Scene, ViewLayer
00:00.619  render           | Engine: Cycles
00:00.623  render           | Fra: 1 | Mem: 0M | Synchronizing object | Orbita principal
Blender 5.2.0 LTS (hash fbe6228777e7 built 2026-07-14 01:32:04)
00:00.623  render           | Fra: 1 | Mem: 0M | Synchronizing object | Plane
00:00.623  render           | Fra: 1 | Mem: 0M | Synchronizing object | Cyan
00:00.623  render           | Fra: 1 | Mem: 0M | Synchronizing object | Key
00:00.624  render           | Fra: 1 | Mem: 0M | Initializing
00:00.624  render           | Fra: 1 | Mem: 0M | Waiting for render to start
00:00.624  render           | Fra: 1 | Mem: 0M | Updating Scene
00:00.624  render           | Fra: 1 | Mem: 0M | Updating Shaders
00:00.624  render           | Fra: 1 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Procedurals
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Background
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Scene Attribute
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Camera
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Meshes Flags
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Objects
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Objects | Copying Transformations to device
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Particle Systems
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Particle Systems | Copying Particles to device
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Meshes
00:00.624  render           | Fra: 1 | Mem: 1M | Updating Objects | Applying Static Transformations
00:00.625  render           | Fra: 1 | Mem: 1M | Updating Scene BVH | Building
00:00.625  render           | Fra: 1 | Mem: 1M | Updating Scene BVH | Building BVH
00:00.625  render           | Fra: 1 | Mem: 1M | Updating Scene BVH | Building BVH 0%
00:00.628  render           | Fra: 1 | Mem: 1M | Updating Scene BVH | Copying BVH to device
00:00.628  render           | Fra: 1 | Mem: 1M | Updating Mesh | Computing attributes
00:00.629  render           | Fra: 1 | Mem: 1M | Updating Mesh | Copying Attributes to device
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Mesh | Computing normals
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Mesh | Copying Mesh to device
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Objects Flags
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Primitive Offsets
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Images
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Volume
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Camera Volume
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Lookup Tables
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Lights
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Lights | Computing tree
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Integrator
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Film
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Lookup Tables
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Baking
00:00.629  render           | Fra: 1 | Mem: 2M | Updating Device | Writing constant memory
00:00.629  render           | Fra: 1 | Mem: 2M | Loading denoising kernels (may take a few minutes the first time)
00:00.629  render           | Fra: 1 | Mem: 2M | Sample 0/12
00:00.845  render           | Fra: 1 | Remaining: 00:02.38 | Mem: 26M | Sample 1/12
00:06.211  render           | Fra: 1 | Mem: 26M | Sample 12/12
00:06.211  render           | Fra: 1 | Mem: 26M | Finished
00:06.515  render           | Saved: '/home/ricardo/cvg-his-v4/docs/frontend/assets/video/frames/pulse-0001.png'
00:06.516  render           | Time: 00:05.89 (Saving: 00:00.27)
00:06.516  render           | Rendering frame 2
00:06.516  render           | Start rendering: Scene, ViewLayer
00:06.516  render           | Engine: Cycles
00:06.520  render           | Fra: 2 | Mem: 0M | Synchronizing object | Orbita principal
00:06.520  render           | Fra: 2 | Mem: 0M | Synchronizing object | Key
00:06.520  render           | Fra: 2 | Mem: 0M | Synchronizing object | Plane
00:06.520  render           | Fra: 2 | Mem: 0M | Synchronizing object | Detalhe champagne
00:06.520  render           | Fra: 2 | Mem: 0M | Synchronizing object | Arco mineral
00:06.521  render           | Fra: 2 | Mem: 0M | Initializing
00:06.521  render           | Fra: 2 | Mem: 0M | Waiting for render to start
00:06.521  render           | Fra: 2 | Mem: 0M | Updating Scene
00:06.521  render           | Fra: 2 | Mem: 0M | Updating Shaders
00:06.521  render           | Fra: 2 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Procedurals
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Background
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Scene Attribute
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Camera
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Meshes Flags
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Objects
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Objects | Copying Transformations to device
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Particle Systems
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Particle Systems | Copying Particles to device
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Meshes
00:06.521  render           | Fra: 2 | Mem: 1M | Updating Objects | Applying Static Transformations
00:06.522  render           | Fra: 2 | Mem: 1M | Updating Scene BVH | Building
00:06.522  render           | Fra: 2 | Mem: 1M | Updating Scene BVH | Building BVH
00:06.522  render           | Fra: 2 | Mem: 1M | Updating Scene BVH | Building BVH 0%
00:06.525  render           | Fra: 2 | Mem: 1M | Updating Scene BVH | Copying BVH to device
00:06.525  render           | Fra: 2 | Mem: 1M | Updating Mesh | Computing attributes
00:06.525  render           | Fra: 2 | Mem: 1M | Updating Mesh | Copying Attributes to device
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Mesh | Computing normals
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Mesh | Copying Mesh to device
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Objects Flags
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Primitive Offsets
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Images
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Volume
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Camera Volume
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Lookup Tables
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Lights
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Lights | Computing tree
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Integrator
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Film
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Lookup Tables
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Baking
00:06.525  render           | Fra: 2 | Mem: 2M | Updating Device | Writing constant memory
00:06.525  render           | Fra: 2 | Mem: 2M | Loading denoising kernels (may take a few minutes the first time)
00:06.525  render           | Fra: 2 | Mem: 2M | Sample 0/12
00:06.924  render           | Fra: 2 | Remaining: 00:04.38 | Mem: 26M | Sample 1/12
00:13.412  render           | Fra: 2 | Mem: 26M | Sample 12/12
00:13.412  render           | Fra: 2 | Mem: 26M | Finished
00:13.502  render           | Saved: '/home/ricardo/cvg-his-v4/docs/frontend/assets/video/frames/pulse-0002.png'
00:13.502  render           | Time: 00:06.98 (Saving: 00:00.03)
00:13.502  render           | Rendering frame 3
00:13.503  render           | Start rendering: Scene, ViewLayer
00:13.503  render           | Engine: Cycles
00:13.509  render           | Fra: 3 | Mem: 0M | Synchronizing object | Cyan
00:13.509  render           | Fra: 3 | Mem: 0M | Synchronizing object | Key
00:13.509  render           | Fra: 3 | Mem: 0M | Synchronizing object | Plane
00:13.511  render           | Fra: 3 | Mem: 0M | Synchronizing object | Detalhe champagne
00:13.511  render           | Fra: 3 | Mem: 0M | Synchronizing object | Arco mineral
00:13.511  render           | Fra: 3 | Mem: 0M | Synchronizing object | Orbita principal
00:13.511  render           | Fra: 3 | Mem: 0M | Initializing
00:13.512  render           | Fra: 3 | Mem: 0M | Waiting for render to start
00:13.512  render           | Fra: 3 | Mem: 0M | Updating Scene
00:13.512  render           | Fra: 3 | Mem: 0M | Updating Shaders
00:13.512  render           | Fra: 3 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Procedurals
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Background
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Scene Attribute
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Camera
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Meshes Flags
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Objects
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Objects | Copying Transformations to device
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Particle Systems
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Particle Systems | Copying Particles to device
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Meshes
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Objects | Applying Static Transformations
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Scene BVH | Building
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Scene BVH | Building BVH
00:13.512  render           | Fra: 3 | Mem: 1M | Updating Scene BVH | Building BVH 0%
00:13.516  render           | Fra: 3 | Mem: 1M | Updating Scene BVH | Copying BVH to device
00:13.516  render           | Fra: 3 | Mem: 1M | Updating Mesh | Computing attributes
00:13.516  render           | Fra: 3 | Mem: 1M | Updating Mesh | Copying Attributes to device
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Mesh | Computing normals
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Mesh | Copying Mesh to device
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Objects Flags
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Primitive Offsets
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Images
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Volume
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Camera Volume
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Lookup Tables
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Lights
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Lights | Computing tree
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Integrator
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Film
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Lookup Tables
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Baking
00:13.516  render           | Fra: 3 | Mem: 2M | Updating Device | Writing constant memory
00:13.517  render           | Fra: 3 | Mem: 2M | Loading denoising kernels (may take a few minutes the first time)
00:13.517  render           | Fra: 3 | Mem: 2M | Sample 0/12
00:13.888  render           | Fra: 3 | Remaining: 00:04.08 | Mem: 26M | Sample 1/12
00:20.206  render           | Fra: 3 | Mem: 26M | Sample 12/12
00:20.206  render           | Fra: 3 | Mem: 26M | Finished
00:20.295  render           | Saved: '/home/ricardo/cvg-his-v4/docs/frontend/assets/video/frames/pulse-0003.png'
00:20.295  render           | Time: 00:06.79 (Saving: 00:00.04)
00:20.295  render           | Rendering frame 4
00:20.295  render           | Start rendering: Scene, ViewLayer
00:20.295  render           | Engine: Cycles
00:20.298  render           | Fra: 4 | Mem: 0M | Synchronizing object | Cyan
00:20.298  render           | Fra: 4 | Mem: 0M | Synchronizing object | Key
00:20.298  render           | Fra: 4 | Mem: 0M | Synchronizing object | Plane
00:20.298  render           | Fra: 4 | Mem: 0M | Synchronizing object | Detalhe champagne
00:20.298  render           | Fra: 4 | Mem: 0M | Synchronizing object | Arco mineral
00:20.298  render           | Fra: 4 | Mem: 0M | Synchronizing object | Orbita principal
00:20.298  render           | Fra: 4 | Mem: 0M | Initializing
00:20.298  render           | Fra: 4 | Mem: 0M | Waiting for render to start
00:20.298  render           | Fra: 4 | Mem: 0M | Updating Scene
00:20.298  render           | Fra: 4 | Mem: 0M | Updating Shaders
00:20.298  render           | Fra: 4 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
00:20.299  render           | Fra: 4 | Mem: 1M | Updating Procedurals
